TRICODE,IATA CODE,CALLSIGN,COMMON NAME,COMPANY/CORPORATE NAME,COUNTRY
MMG,-,RUTA MAYA,AEREO RUTA MAYA,AEREO RUTA MAYA,GUATEMALA
PZA,-,AEREO PARAZA,AEREO TAXI PARAZA,"AEREO TAXI PARAZA, S.A. DE C.V.",MEXICO
ACM,-,-,AEREO VIAS CENTROAMERICANAS SOCIEDAD ANONIMA DE CAPITAL VARIABLE,AVIAC S.A. DE C.V. (AEREO VIAS CENTROAMERICANAS SOCIEDAD ANONIMA DE CAPITAL VARIABLE),HONDURAS
TXI,-,AEREOTAXIS,AEREOTAXIS,"AEREOTAXIS, S.A. DE C.V.",MEXICO
TLA,-,AEROCLA,AEREOTCLA,"AEREOTCLA, S.A. DE C.V.",MEXICO
AGP,-,AIR TARA,AERFI GROUP,AERFI GROUP PLC,IRELAND
TKR,-,TANKER,AERIAL FIREFIGHTING,-,UNITED STATES OF AMERICA
SUY,-,SURVEY,AERIAL SURVEYS,AERIAL SURVEYS (1980) LTD,NEW ZEALAND
RIS,-,AERIS,AERIS GESTION,AERIS GESTION S.L.,SPAIN
JCY,-,JET CITY,AERIUS MANAGEMENT,AERIUS MANAGEMENT LLC,UNITED STATES OF AMERICA
AEO,-,AERO,AERO,AERO GUERNSEY LTD,GUERNSEY
BLK,-,AERO BLACK,AERO AIR,USAC AIRWAYS 695 LLC,UNITED STATES OF AMERICA
WIL,-,WILLAMETTE,AERO AIR,"AERO AIR, LLC (HILLSBORO, OR)",UNITED STATES OF AMERICA
ILK,-,ILEK,AERO AIRLINE,AERO AIRLINE PLC,KAZAKHSTAN
ABM,-,ALBATROS ESPANA,AERO ALBATROS,AERO ALBATROS,SPAIN
ALB,-,ALBATROS,AERO ALBATROS,AERO ALBATROS,MEXICO
AKF,-,-,AERO ASAHI CORPORATION,AERO ASAHI CORPORATION,JAPAN
RSO,-,AERO ASIA,AERO ASIA,AERO ASIA,PAKISTAN
BLZ,-,AEROLOZ,AERO BARLOZ,"AERO BARLOZ, S.A. DE C.V.",MEXICO
BGG,-,AERO BG,AERO BG,"AERO BG, S.A. DE C.V.",MEXICO
BZS,-,BINIZA,AERO BINIZA,"AERO BINIZA, S.A. DE C.V.",MEXICO
CFV,A7,CALAFIA,AERO CALAFIA,"AERO CALAFIA, S.A. DE C.V.",MEXICO
GLT,-,GASLIGHT,AERO CHARTER,"AERO CHARTER, INC. (CHESTERFIELD, MO)",UNITED STATES OF AMERICA
CTA,-,CHAR-TRAN,AERO CHARTER AND TRANSPORT,"AERO CHARTER AND TRANSPORT (ALBUQUERQUE, NM)",UNITED STATES OF AMERICA
KFK,-,KRIFKA AIR,AERO CHARTER KRIFKA,AERO CHARTER KRIFKA GES MBH,AUSTRIA
RRB,-,-,AERO CLUB DE CASTELLON,AERO CLUB DE CASTELLON,SPAIN
CLP,-,CLUB PORTUGAL,AERO CLUB DE PORTUGAL,AERO CLUB DE PORTUGAL,PORTUGAL
CGV,-,CLUBE ALGARVE,AERO CLUBE DO ALGARVE,AERO CLUBE DO ALGARVE,PORTUGAL
NIG,-,AEROLINE,AERO CONTRACTORS COMPANY OF NIGERIA,AERO CONTRACTORS COMPANY OF NIGERIA LTD.,NIGERIA
PTE,-,AERO-COP,AERO COPTER,"AERO COPTER, S.A. DE C.V.",MEXICO
ARP,-,IVORYCORP,AERO CORPORATE,AERO CORPORATE,COTE D'IVOIRE
DVI,-,AERO DAVINCI,AERO DAVINCI INTERNATIONAL,"AERO DAVINCI INTERNATIONAL, S.A. DE C.V.",MEXICO
ADL,-,COTSWOLD,AERO DYNAMICS,AERO DYNAMICS,UNITED KINGDOM
VEJ,-,VENEJECUTIV,AERO EJECUTIVOS,"AERO EJECUTIVOS, C.A.",VENEZUELA
EPU,-,ELITACAPULCO,AERO ELITE ACAPULCO,"AERO ELITE ACAPULCO, S.A. DE C.V.",MEXICO
AON,-,AERO ENTREPRISE,AERO ENTREPRISE,AERO ENTREPRISE,FRANCE
GEX,-,AERO GEORGIA,AERO EXPEDITION,AERO EXPEDITION LLC,GEORGIA
XPN,-,+,AERO EXPRESS,AERO EXPRESS,NIGER
WAB,-,WABASH,AERO INDUSTRIES,"AERO INDUSTRIES, INC. (RICHMOND, VA)",UNITED STATES OF AMERICA
TEJ,-,+,AERO JET,AERO JET,ANGOLA
