CALLSIGN,SSR INDICATION,ICAO 3LD,UNIT OR OPERATOR,FORCE,ACFT TYPE,COUNTRY,SOURCE REMARK,OPERATIONAL NOTE,LOCATION NOTE2,ETYMOLOGY NOTE,MISCELLANEOUS NOTE,ASSOCIATED FIXED CALLSIGN,APPROVED CONTRACTION,TAXONOMY,SENSITIVITY,SOURCE,,,,,,,,,,,,,,,,,
ANARCHY,ANARCH,-,29 SQUADRON,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,,DISPLAY CALL SIGN,,,U,N,1,,,,,,,,,,,,,,,,,,,
ANARCHY,ANARCHY,-,29 SQUADRON,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,,DISPLAY CALL SIGN,,,U,N,1,,,,,,,,,,,,,,,,,,,
ANCHORMAN,ANCHORMA,-,,ROYAL AIR FORCE,EC35,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
ANGLESEY,VYT,VYT,VALLEY FLYING TRAINING UNIT,ROYAL AIR FORCE,EC35,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
ANGLESEY,VYT,VYT,VALLEY FLYING TRAINING UNIT,ROYAL AIR FORCE,EC45,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
ANGLESEY,VYT,VYT,VALLEY FLYING TRAINING UNIT,ROYAL AIR FORCE,HAWK,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
ANGLESEY,VYT,VYT,VALLEY FLYING TRAINING UNIT,ROYAL AIR FORCE,TEX2,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
ANIMAL,ANIML,-,48TH FIGHTER WING,UNITED STATES AIR FORCE EUROPE,F15,UNITED KINGDOM,,,LAKENHEATH,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ANIMAL,ANIMAL,-,48TH FIGHTER WING,UNITED STATES AIR FORCE EUROPE,F15,UNITED KINGDOM,,,LAKENHEATH,,,U,N,1,,,,,,,,,,,,,,,,,,,
ANKLE,ANKLE,-,67TH SPECIAL OPERATIONS SQUADRON,UNITED STATES AIR FORCE EUROPE,C30J,UNITED KINGDOM,,,MILDENHALL,,,U,U,1,,,,,,,,,,,,,,,,,,,
ANTLER,ANTLR,-,SOUTHAMPTON UNIVERSITY AIR SQUADRON,ROYAL AIR FORCE,G115,UNITED KINGDOM,,,FORMATION,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ANZIO,ANZIO,-,655 SQUADRON,ARMY AIR CORPS,N/A,UNITED KINGDOM,,,FLYING OPERATIONS CEASED 2007,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ANZIO,ANZIO,-,665 SQUADRON,ARMY AIR CORPS,H64,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
APOLLO,APOLLO,-,41 SQUADRON,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
APOLLO,APOLL,-,41 SQUADRON,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
APPLE,APPLE,-,825 NAVAL AIR SQUADRON,ROYAL NAVY,LYNX,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ARCHER,ARCHR,-,664 SQUADRON,ARMY AIR CORPS,H64,UNITED KINGDOM,,,STATION HEADQUARTERS,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ARCHER,ARCHR,-,100 SQUADRON,ROYAL AIR FORCE,HAWK,UNITED KINGDOM,,,DISBANDED MARCH 2022,,,U,N,1,,,,,,,,,,,,,,,,,,,
ARCTIC,ARCTC,-,846 NAVAL AIR SQUADRON,ROYAL NAVY,EH10,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
ARCTIC,ARTIC,-,846 NAVAL AIR SQUADRON,ROYAL NAVY,EH10,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ARGUS,ARGUS,-,RAF ODIHAM,ROYAL AIR FORCE,H47,UNITED KINGDOM,,,STATION CALLSIGN,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ARIES,ARIES,-,72 SQUADRON,ROYAL AIR FORCE,TEX2,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
