Manufacturer,Model,ICAO Type Designator,ICAO WTC,MCTOM (Kg),UK Departure WTC,UK Arrival WTC,Common Name
ATLAS,Rooivalk,RVAL,M,8700,S,S,
ATR,ATR-42-300,AT43,M,16900,L,L,
ATR,ATR-42-400,AT44,M,17900,S,S,
ATR,ATR-42-500,AT45,M,18600,S,S,
ATR,ATR-42-600,AT46,M,18600,S,S,
ATR,ATR-72-201,AT72,M,22000,S,S,
ATR,ATR-72-211,AT73,M,22000,S,S,
ATR,ATR-72-500,AT75,M,23000,S,S,
ATR,ATR-72-600,AT76,M,23000,S,S,
AUSTER,Autocar,ACAR,L,0,L,L,
AUSTER,Adventurer,ADVE,L,0,L,L,
AUSTER,Aiglet Trainer,AIGT,L,0,L,L,
AUSTER,Alpine,ALPI,L,0,L,L,
AUSTER,Arrow,AUJ2,L,0,L,L,
AUSTER,Archer,AUJ4,L,0,L,L,
AUSTER,Q,AUS7,L,0,L,L,
AUSTER,B5,AUS9,L,0,L,L,
AUSTFLIGHT,Drifter,DRIF,L,0,L,L,
AUSTRALIAN AEROSPACE,MRH-90,NH90,M,11000,S,S,
AUSTRALIAN AEROSPACE,EC-665 Tiger,TIGR,L,6600,L,L,
AUSTRALIAN AEROSPACE,Tiger,TIGR,L,6600,L,L,
AUSTRALITE,Ultrabat,UBAT,L,0,L,L,
AVANTAGE,A-27,A27,L,0,L,L,
AVANTAGE,A-29,A29,L,0,L,L,
AVANTAGE,Spectrum,A31,L,0,L,L,
AVANTAGE,Scanner,A35,L,0,L,L,
AVIA (3),Accord,ACRD,L,0,L,L,
AVIA BALTIKA,LAK-X,LAKX,L,0,L,L,
AVIADESIGN,A-16 Sport Falcon,A16,L,0,L,L,
AVIAIMPEX,KT-112 Yanhol,YNHL,L,900,L,L,
AVIAIMPEX,Yanhol,YNHL,L,900,L,L,
AVIAKIT,Vega 3000,VG3T,L,0,L,L,
AVIAMILANO,F-14 Nibbio,NIBB,L,0,L,L,
AVIAMILANO,P-19 Scricciolo,P19,L,0,L,L,
AVIASTROITEL,AC-5M,AC5M,L,0,L,L,
AVIATION DEVELOPMENT,Alaskan Bushmaster,ALBU,L,0,L,L,
AVIATION ENTERPRISES,Magnum,MGNM,L,0,L,L,
AVIATION TRADERS,ATL-98 Carvair,CARV,M,33475,S,S,
AVIATON,Merkury,MERK,L,0,L,L,
AVICOPTER,AC-311,AC31,L,2250,L,L,
AVICOPTER,AC-313,AC33,M,13000,S,S,
AVICOPTER,AC-301,AS50,L,2500,L,L,
AVID,Magnum,MAGN,L,0,L,L,
AVION,F-1 Favorit,F1FV,L,0,L,L,
AVIOTECNICA,ES-101 Exec,ES11,L,580,L,L,
AVIOTECNICA,ES-101 Raven,ES11,L,580,L,L,
AVIOTECNICA,Exec,ES11,L,580,L,L,
AVIOTECNICA,Raven,ES11,L,580,L,L,
AVRO,504,A504,L,0,L,L,
AVRO,652 Anson,ANSN,L,4763,L,L,
AVRO,616 Avian,AVIN,L,658,L,L,
AVRO,683 Lancaster,LANC,M,30909,S,S,
AVRO,696 Shackleton,SHAC,M,45359,M,LM,
AVRO,Tutor,TUTR,L,0,L,L,
AVTEK,400,AVK4,L,0,L,L,
B & F TECHNIK,FK-12 Comet,FK12,L,540,L,L,
B & F TECHNIK,FK-14 Polaris,FK14,L,544,L,L,
B & F TECHNIK,FK-9,FK9,L,560,L,L,
BAKENG,Duce,DUCE,L,748,L,L,
BARR,BarrSix,BAR6,L,0,L,L,
BEACHNER,V-8 Special,V8SP,L,0,L,L,
BEAGLE,B-121 Pup,PUP,L,885,L,L,
BEAGLE-AUSTER,Airedale,AIRD,L,1247,L,L,
BEAGLE-AUSTER,Auster AOP11,AU11,L,0,L,L,
BEAGLE-AUSTER,B-206,BASS,L,3402,L,L,
BEAGLE-AUSTER,D-4,D4,L,862,L,L,
BEAGLE-AUSTER,D-6,D6,L,0,L,L,
BEDE,BD-12,BD12,L,0,L,L,
BEDE,BD-17 Nuggett,BD17,L,431,L,L,
BEDE,BD-5B Micro,BD5,L,0,L,L,
BEDE,Micro (BD-5J),BD5J,L,0,L,L,
BEDE,Micro (BD-5TP),BD5T,L,0,L,L,
BEECH,1900,B190,M,7983,L,L,
BEECH,Baron (58TC),B58T,L,2495,L,L,
BEECH,100 King Air,BE10,L,5352,L,L,
BEECH,17 Staggerwing,BE17,L,2109,L,L,
BEECH,18,BE18,L,3402,L,L,
BEECH,19 Musketeer Sport,BE19,L,1021,L,L,
BEECH,200 Super King Air,BE20,L/M,6350,L,L,
BEECH,23 Sundowner,BE23,L,1111,L,L,
BEECH,24 Musketeer Super,BE24,L,1247,L,L,
BEECH,300 Super King Air,BE30,M,8000,L,L,
BEECH,Bonanza (33),BE33,L,1656,L,L,
BEECH,Bonanza 36,BE36,L,1656,L,L,
BEECH,400 Beechjet,BE40,M,7394,L,L,
BEECH,400XPR,BE4W,M,7303,L,L,
BEECH,50 Twin Bonanza,BE50,L,3311,L,L,
BEECH,55 Baron,BE55,L,2404,L,L,
BEECH,56 Turbo Baron,BE56,L,2717,L,L,
BEECH,58 Baron,BE58,L,2495,L,L,
BEECH,60 Duke,BE60,L,3073,L,L,
BEECH,65 Queen Air,BE65,L,4944,L,L,
BEECH,70 Queen Air,BE70,L,3719,L,L,
BEECH,76 Duchess,BE76,L,1769,L,L,
BEECH,77 Skipper,BE77,L,760,L,L,
BEECH,80 Queen Air,BE80,L,3992,L,L,
BEECH,88 Queen Air,BE88,L,3992,L,L,
BEECH,95 Travel Air,BE95,L,2404,L,L,
BEECH,99 Airliner,BE99,L,5126,L,L,
BEECH,90 King Air,BE9L,L,4581,L,L,
BEECH,90 (F90) King Air,BE9T,L,4967,L,L,
BEECH,U-21A Ute,U21,L,4377,L,L,
BEECH,1079,U22,L,1656,L,L,
BEECH-SFERMA,Marquis,BS60,L,2722,L,L,
BEETS,Special,GBSP,L,0,L,L,
BELL,406,B06,L,2064,L,L,
BELL,206A JetRanger,B06,L,2064,L,L,
BELL,206B JetRanger,B06,L,2064,L,L,
BELL,206L LongRanger,B06,L,2064,L,L,
BELL,406 Combat Scout,B06,L,2064,L,L,
BELL,CH-136,B06,L,2064,L,L,
BELL,CH-139,B06,L,2064,L,L,
BELL,COH-58,B06,L,2064,L,L,
BELL,Combat Scout,B06,L,2064,L,L,
BELL,Creek,B06,L,2064,L,L,
BELL,JetRanger,B06,L,2064,L,L,
BELL,Kiowa,B06,L,2064,L,L,
BELL,Kiowa Warrior,B06,L,2064,L,L,
BELL,LongRanger,B06,L,2064,L,L,
BELL,OH-58 Kiowa,B06,L,2064,L,L,
BELL,OH-58 Kiowa Warrior,B06,L,2064,L,L,
BELL,SeaRanger,B06,L,2064,L,L,
BELL,TH-206,B06,L,2064,L,L,
BELL,TH-57 SeaRanger,B06,L,2064,L,L,
BELL,TH-67 Creek,B06,L,2064,L,L,
BELL,VH-4 JetRanger,B06,L,2064,L,L,
BELL,206LT TwinRanger,B06T,L,2064,L,L,
BELL,TwinRanger,B06T,L,2064,L,L,
BELL,212,B212,L,5080,L,L,
BELL,212 Twin Two-Twelve,B212,L,5080,L,L,
BELL,Twin Two-Twelve,B212,L,5080,L,L,
BELL,UH-1N,B212,L,5080,L,L,
BELL,VH-1,B212,L,5080,L,L,
BELL,214A Isfahan,B214,M,7258,S,S,
BELL,214B,B214,M,7258,S,S,
BELL,214C BigLifter,B214,M,7258,S,S,
BELL,BigLifter,B214,M,7258,S,S,
BELL,Isfahan,B214,M,7258,S,S,
BELL,222,B222,L,3810,L,L,
BELL,230,B230,L,3810,L,L,
BELL,407,B407,L,2722,L,L,
BELL,Arapaho (RH-70),B407,L,2722,L,L,
BELL,ARH-70 Arapaho,B407,L,2722,L,L,
BELL,YRH-70 Arapaho,B407,L,2722,L,L,
BELL,412,B412,L,5534,L,L,
BELL,412 Arapaho,B412,L,5534,L,L,
BELL,412 Griffin,B412,L,5534,L,L,
BELL,412 Sentinel,B412,L,5534,L,L,
BELL,Arapaho (412),B412,L,5534,L,L,
BELL,CH-146 Griffon,B412,L,5534,L,L,
BELL,Griffin,B412,L,5534,L,L,
BELL,Griffon,B412,L,5534,L,L,
BELL,Sentinel,B412,L,5534,L,L,
BELL,427,B427,L,2971,L,L,
BELL,429 GlobalRanger,B429,L,3629,L,L,
BELL,GlobalRanger,B429,L,3629,L,L,
BELL,430,B430,L,4218,L,L,
BELL,47D,B47G,L,1452,L,L,
BELL,47G,B47G,L,1452,L,L,
BELL,47G Trooper,B47G,L,1452,L,L,
BELL,47H,B47G,L,1452,L,L,
BELL,OH-13 Sioux,B47G,L,1452,L,L,
BELL,Sioux,B47G,L,1452,L,L,
BELL,TH-13T,B47G,L,1452,L,L,
BELL,Trooper,B47G,L,1452,L,L,
BELL,UH-13H,B47G,L,1452,L,L,
BELL,47J Ranger,B47J,L,1338,L,L,
BELL,HH-13,B47J,L,1338,L,L,
BELL,Ranger,B47J,L,1338,L,L,
BELL,TH-13N,B47J,L,1338,L,L,
BELL,UH-13J,B47J,L,1338,L,L,
BELL,UH-13P,B47J,L,1338,L,L,
BELL,UH-13R,B47J,L,1338,L,L,
BELL,505 Jet Ranger X,B505,L,2030,L,L,
BELL,Jet Ranger X,B505,L,2030,L,L,
BELL,525 Relentless,B525,M,8754,S,S,
BELL,Relentless,B525,M,8754,S,S,
BELL,214ST SuperTransport,BSTP,M,7938,S,S,
BELL,SuperTransport,BSTP,M,7938,S,S,
BELL,209 HueyCobra,HUCO,L,4536,L,L,
BELL,AH-1E HueyCobra,HUCO,L,4536,L,L,
BELL,AH-1F HueyCobra,HUCO,L,4536,L,L,
BELL,AH-1P HueyCobra,HUCO,L,4536,L,L,
BELL,AH-1S HueyCobra,HUCO,L,4536,L,L,
BELL,HueyCobra,HUCO,L,4536,L,L,
BELL,TAH-1 HueyCobra,HUCO,L,4536,L,L,
BELL,TH-1S HueyCobra,HUCO,L,4536,L,L,
BELL,Airacobra,P39,L,0,L,L,
BELL,Kingcobra,P63,L,4990,L,L,
BELL,209 SuperCobra,SUCO,M,8391,S,S,
BELL,449 SuperCobra,SUCO,M,8391,S,S,
BELL,AH-1W SuperCobra,SUCO,M,8391,S,S,
BELL,AH-1Z SuperCobra,SUCO,M,8391,S,S,
BELL,SuperCobra,SUCO,M,8391,S,S,
BELL,204,UH1,L,3856,L,L,
BELL,205,UH1,L,4763,L,L,
BELL,210,UH1,L,5080,L,L,
BELL,CH-118,UH1,L,5080,L,L,
BELL,CUH-1H,UH1,L,5080,L,L,
BELL,EH-1 Iroquois,UH1,L,5080,L,L,
BELL,HH-1 Iroquois,UH1,L,5080,L,L,
BELL,Huey,UH1,L,5080,L,L,
BELL,Iroquois,UH1,L,5080,L,L,
BELL,SH-1 Iroquois,UH1,L,5080,L,L,
BELL,TH-1E Iroquois,UH1,L,5080,L,L,
BELL,TH-1F Iroquois,UH1,L,5080,L,L,
BELL,TH-1H Iroquois,UH1,L,5080,L,L,
BELL,TH-1L Iroquois,UH1,L,5080,L,L,
BELL,UH-1A Iroquois,UH1,L,5080,L,L,
BELL,UH-1B Iroquois,UH1,L,5080,L,L,
BELL,UH-1C Iroquois,UH1,L,5080,L,L,
BELL,UH-1D Iroquois,UH1,L,5080,L,L,
BELL,UH-1E Iroquois,UH1,L,5080,L,L,
BELL,UH-1F Iroquois,UH1,L,5080,L,L,
BELL,UH-1H Iroquois,UH1,L,5080,L,L,
BELL,UH-1L Iroquois,UH1,L,5080,L,L,
BELL,UH-1M Iroquois,UH1,L,5080,L,L,
BELL,UH-1V Iroquois,UH1,L,5080,L,L,
BELL,UH-1Y,UH1Y,L,5080,L,L,
BELL-AGUSTA,AB-139,A139,L,7000,S,S,
BELLANCA,17 Viking,BL17,L,1508,L,L,
BELLANCA,19 Skyrocket,BL19,L,0,L,L,
BELLANCA,CH-300 Pacemaker,PACE,L,2091,L,L,
BELLANCA,Aries,T250,L,0,L,L,
BERIEV,Be-103 Bekas,B103,L,2270,L,L,
BERIEV,Be-30,BE32,M,5860,L,L,
BERIEV,Be-200 Altair,BER2,M,41000,M,LM,
BEST OFF,Nynja,NNJA,L,0,L,L,
BHARAT,Swati,SWAT,L,0,L,L,
BINDER (2),EB-29DE,E29E,L,900,L,L,
BINDER (2),EB-29,EB29,L,900,L,L,
BINDER (2),Eta,ETA,L,850,L,L,
BLACKSHAPE,Gabriel,GABR,L,850,L,L,
BLACKSHAPE,Bk-100 Prime,PRIM,L,600,L,L,
BLERIOT,11,BL11,L,0,L,L,
BLUE YONDER,Twin E-Z Flyer,EZFT,L,635,L,L,
BLUE YONDER,E-Z Harvard,EZHV,L,0,L,L,
BLUE YONDER,E-Z King Cobra,EZKC,L,0,L,L,
BOEING,B-17 Flying Fortress,B17,M,27240,S,S,
BOEING,B-29 Superfortress,B29,M,61290,M,LM,
BOEING,737 MAX -7,B37M,M,80286,M,LM,
BOEING,737 MAX -8,B38M,M,82645,M,LM,
BOEING,737 MAX -9,B39M,M,88314,M,LM,
BOEING,737 MAX 10,B3XM,M,89766,M,LM,
BOEING,B-52 Stratofortress,B52,H,221350,H,H,
BOEING,707-100,B701,M,117027,M,UM,
BOEING,707-300,B703,H,143335,H,H,
BOEING,717-200,B712,M,54885,M,LM,
BOEING,720,B720,M,106141,M,UM,
BOEING,727-100,B721,M,72575,M,LM,
BOEING,727-200,B722,M,95028,M,LM,
BOEING,737-200,B732,M,58105,M,LM,
BOEING,737-300,B733,M,63276,M,LM,
BOEING,737-400,B734,M,68038,M,LM,
BOEING,737-500,B735,M,61688,M,LM,
BOEING,737-600,B736,M,65997,M,LM,
BOEING,737-700,B737,M,77564,M,LM,
BOEING,737-800B,B738,M,79015,M,LM,
BOEING,737-900,B739,M,85139,M,LM,
BOEING,747-100,B741,H,333400,H,H,
BOEING,747-200,B742,H,377842,H,H,
BOEING,747-300,B743,H,377842,H,H,
BOEING,"747-400 (international, winglets)",B744,H,412769,H,H,
BOEING,747-8,B748,H,447695,H,H,
BOEING,747SR,B74R,H,340190,H,H,
BOEING,747SP,B74S,H,315700,H,H,
BOEING,757-200,B752,M,115893,M,UM,
BOEING,757-300,B753,M,123830,M,UM,
BOEING,767-200,B762,H,179169,H,H,
BOEING,767-300,B763,H,186880,H,H,
BOEING,767-400,B764,H,204116,H,H,
BOEING,777-200ER,B772,H,297556,H,H,
BOEING,777-300,B773,H,299370,H,H,
BOEING,777-8,B778,H,351534,H,H,
BOEING,777-9,B779,H,351534,H,H,
BOEING,777-200LR,B77L,H,340194,H,H,
BOEING,777-300ER,B77W,H,351534,H,H,
BOEING,787-8 Dreamliner,B788,H,227930,H,H,
BOEING,787-9 Dreamliner,B789,H,254011,H,H,
BOEING,787-10 Dreamliner,B78X,H,254011,H,H,
BOEING,747-400LCF Dreamlifter,BLCF,H,364235,H,H,
Boeing,40,BO40,L,0,L,L,
BOEING,BTX-1 / T7A,BT7,M,N/A,,,
BOEING,C-135 Stratolifter,C135,H,125870,M,UM,
BOEING,C-97 Stratofreighter,C97,M,79450,M,LM,
BOEING,E-3A (CFM56) Sentry,E3CF,H,148325,H,H,
BOEING,E-3B Sentry,E3TF,H,148325,H,H,
BOEING,Mercury,E6,H,148325,H,H,
BOEING,737-700 Wedgetail,E737,M,77564,M,LM,
BOEING,E-767,E767,H,179169,H,H,
BOEING,Explorer,EXPL,L,3071,L,L,
BOEING,MD-902 Explorer,EXPL,L,3071,L,L,
BOEING,F-15 Eagle,F15,M,36740,S,S,
BOEING,FA-18 Hornet,F18H,M,29937,S,S,
BOEING,CH-47 Chinook,H47,M,22680,S,S,
BOEING,Chinook,H47,M,22680,S,S,
BOEING,HH-47,H47,M,22680,S,S,
BOEING,JCH-47 Chinook,H47,M,22680,S,S,
BOEING,MH-47 Chinook,H47,M,22680,S,S,
BOEING,Defender,H500,L,1519,L,L,
BOEING,Lifter,H500,L,1519,L,L,
BOEING,MD-500,H500,L,1519,L,L,
BOEING,MD-500 Defender,H500,L,1519,L,L,
BOEING,MD-500 Nightfox,H500,L,1519,L,L,
BOEING,MD-530F Lifter,H500,L,1519,L,L,
BOEING,MD-530MG Defender,H500,L,1519,L,L,
BOEING,MD-530MG Nightfox,H500,L,1519,L,L,
BOEING,Nightfox,H500,L,1519,L,L,
BOEING,AH-64 Longbow Apache,H64,M,10433,S,S,
BOEING,AH-64 Saraf,H64,M,10433,S,S,
BOEING,Longbow Apache,H64,M,10433,S,S,
BOEING,Saraf,H64,M,10433,S,S,
BOEING,Stratotanker (TF33 engines),K35E,H,134720,M,UM,
BOEING,C-135FR Stratotanker,K35R,H,146285,H,H,
BOEING,KE-3,KE3,H,148325,H,H,
BOEING,MD-520N,MD52,L,1700,L,L,
BOEING,MD-600N,MD60,L,1860,L,L,
BOEING,P-8 Poseidon,P8,M,85820,M,LM,
BOEING,Stingray,Q25,M,24721,S,S,
BOEING,TC-135,R135,H,146000,H,H,
BOEING,727-100RE Super 27,R721,M,72575,M,LM,
BOEING,727-200RE Super 27,R722,M,95028,M,LM,
BOEING,X-32,X32,M,22700,S,S,
BOEING,451 Scout,YL15,L,930,L,L,
BOEING VERTOL,107,H46,M,8619,S,S,
BOEING VERTOL,CH-113 Labrador,H46,M,8619,S,S,
BOEING VERTOL,CH-46 Sea Knight,H46,M,8619,S,S,
BOEING VERTOL,HH-46 Sea Knight,H46,M,8619,S,S,
BOEING VERTOL,Hkp4,H46,M,8619,S,S,
BOEING VERTOL,Labrador,H46,M,8619,S,S,
BOEING VERTOL,Sea Knight,H46,M,8619,S,S,
BOEING VERTOL,UH-46 Sea Knight,H46,M,8619,S,S,
BOEING VERTOL,114,H47,M,22680,S,S,
BOEING VERTOL,234,H47,M,22680,S,S,
BOEING VERTOL,414,H47,M,22680,S,S,
BOEING VERTOL,CH-47 Chinook,H47,M,22680,S,S,
BOEING VERTOL,Chinook,H47,M,22680,S,S,
BOEING VERTOL,JCH-47 Chinook,H47,M,22680,S,S,
BOEING VERTOL,MH-47 Chinook,H47,M,22680,S,S,
BOISAVIA,B-604 Mercurey,B60,L,0,L,L,
BOLKOW,BO-105,B105,L,2600,L,L,
BOMBARDIER,Challenger 300,CL30,M,17622,S,S,
BOMBARDIER,Challenger 350,CL35,M,18416,S,S,
BOMBARDIER,Regional Jet CRJ-1000,CRJX,M,41640,M,LM,
BOMBARDIER,BD-700 Global 5000,GL5T,M,52095,M,LM,
BOMBARDIER,BD-700 Global 6000,GL6T,M,52095,M,LM,
BOMBARDIER,BD-700 Global 7000/7500/8000,GL7T,M,52095,M,LM,
BOT AIRCRAFT,SC-07 Speed Cruiser,BISC,L,473,L,L,
BOWERS,Fly Baby 1A,FB1A,L,441,L,L,
BOWERS,Fly Baby 1B,FB1B,L,441,L,L,
BRADLEY,BA-100 Aerobat,BBAT,L,0,L,L,
BRANDLI,Cherry,BX2,L,550,L,L,
BRANTLY,305,B305,L,1316,L,L,
BRANTLY,B-2,BRB2,L,758,L,L,
BRANTLY-HYNES,B-2,BRB2,L,758,L,L,
BRDITSCHKA,Hobbyliner (HB-21),HB21,L,775,L,L,
BRDITSCHKA,HB-3,HB3,L,0,L,L,
BREDANARDI,NH-300,H269,L,975,L,L,
BREDANARDI,NH-500,H500,L,1361,L,L,
BREEZER,Breezer,BREZ,L,600,L,L,
BREGUET,1050 Alizé,ALIZ,M,8200,L,L,
BREGUET,14 Replica,BR14,L,0,L,L,
BRISTOL,Fighter,BFIT,L,0,L,L,
BRISTOL,149 Blenheim,BLEN,L,6804,L,L,
BRISTOL,171 Sycamore,SYCA,L,2540,L,L,
BRISTOL,Sycamore,SYCA,L,2540,L,L,
BRITISH AEROSPACE,Bae-748,A748,M,21092,S,S,
BRITISH AEROSPACE,ATP,ATP,M,23678,S,S,
BRITISH AEROSPACE,BAe-146-100 ,B461,M,38101,S,S,
BRITISH AEROSPACE,BAe-146-200 ,B462,M,42184,M,LM,
BRITISH AEROSPACE,BAe-146-300,B463,M,45132,M,LM,
BRITISH AEROSPACE,One-Eleven,BA11,M,47400,M,LM,
BRITISH AEROSPACE,Hawk,HAWK,M,9072,L,L,
BRITISH AEROSPACE,BAe-3100 Jetstream 31,JS31,L/M,7059,L,L,
BRITISH AEROSPACE,BAe-3200 Jetstream Super 31,JS32,M,7350,L,L,
BRITISH AEROSPACE,Jetstream 41,JS41,M,10886,L,L,
BRITISH AEROSPACE,RJ-100,RJ1H,M,44225,M,LM,
BRITISH AEROSPACE,RJ-70,RJ70,M,43091,M,LM,
BRITISH AEROSPACE,RJ-85,RJ85,M,42184,M,LM,
BRITISH AEROSPACE,Strikemaster,STRK,L,5216,L,L,
BRITTEN NORMAN,BN-2B Islander,BN2P,L,2994,L,L,
BRITTEN NORMAN,BN-2T Turbo Islander,BN2T,L,3855,L,L,
BRM AERO,NG-5 Bristell,NG5,L,600,L,L,
BRM AERO,Bristell B23 Energic,NG5E,L,750,L,L,
BROKAW,Bullet,BULT,L,0,L,L,
BRUMBY,600,BR60,L,0,L,L,
BRUMBY,610 Evolution,BR61,L,600,L,L,
BUCHANAN,Ozzie Mozzie,OZZI,L,0,L,L,
BUHL,Sport Airsedan,BCA3,L,1451,L,L,
BUL,Zùlù,ZULU,L,0,L,L,
C2P,One,ONE,L,750,L,L,
CAB,GY-30 Supercab,GY30,L,0,L,L,
CADCOR,Chanute,CHAN,L,0,L,L,
CAG,Toxo,TOXO,L,0,L,L,
CALLAIR,A-4,CLA,L,703,L,L,
CAMPANA,AN-4,CAN4,L,0,L,L,
CANADA AIR RV,Griffin,GRIF,L,0,L,L,
CANADAIR,CL-215,CL2P,M,19731,S,S,
CANADAIR,CL-215T,CL2T,M,19890,S,S,
CANADAIR,CL-41 Tutor,CL41,L,0,L,L,
CANADAIR,CL-44-0 Guppy,CL4G,M,95254,M,LM,
CANADAIR,CL-600 Challenger 600,CL60,M,21863,S,S,
CANADAIR,Regional Jet CRJ-100,CRJ1,M,23995,S,S,
CANADAIR,Regional Jet CRJ-200,CRJ2,M,21523,S,S,
CANADAIR,Regional Jet CRJ-700,CRJ7,M,38329,S,S,
CANADAIR,Regional Jet CRJ-900,CRJ9,M,38329,S,S,
CANADIAN HOME ROTORS,Baby Belle,BABY,L,700,L,L,
CANADIAN HOME ROTORS,Safari,BABY,L,700,L,L,
CAPELLA,T-Raptor,TRAP,L,0,L,L,
CAPRONI VIZZOLA,Ventura,C22J,L,0,L,L,
CARLSON,Skycycle,CYCL,L,0,L,L,
CARLSON,Sparrow-ette,SPR2,L,0,L,L,
CARRIOU,RSA Club,CL8,L,0,L,L,
CASA,AS-332 Super Puma,AS32,M,8600,S,S,
CASA,Cougar,AS32,M,8600,S,S,
CASA,Super Puma,AS32,M,8600,S,S,
CASA,BO-105,B105,L,2600,L,L,
CASA,HR-15,B105,L,2600,L,L,
CASA,BK-117,BK17,L,3700,L,L,
CASA,C-212 Aviocar,C212,M,7700,L,L,
CASA,C-295,C295,M,21000,S,S,
CASA,CN-235,CN35,M,15800,L,L,
CATA,Oryx,LMK1,L,0,L,L,
CAUDRON,C-272 Luciole,C270,L,780,L,L,
CAUDRON,G-3 Replica,CG3,L,715,L,L,
CAUDRON,JN-760 Cyclone Replica,JN76,L,2000,L,L,
CEA,CEA-309 Mehari,C309,L,0,L,L,
CEA,CEA-311 Anequim,C311,L,0,L,L,
CELAIR,Eagle 300,CEGL,L,0,L,L,
CENTRE EST,Capitaine,D250,L,960,L,L,
CENTRE EST,Regent,D253,L,1100,L,L,
CENTRE EST,2+2,DR22,L,840,L,L,
CERVA,CE-43 Guepard,CE43,L,0,L,L,
CESSNA,A-37 Dragonfly,A37,L,6350,L,L,
CESSNA,402 (TURBINE),C02T,L,3107,L,L,
CESSNA,404 Turbo Titan,C04T,L,3810,L,L,
CESSNA,206 (TURBINE),C06T,L,1633,L,L,
CESSNA,207 (TURBINE),C07T,L,1724,L,L,
CESSNA,P210 (turbine),C10T,L,1860,L,L,
CESSNA,120,C120,L,706,L,L,
CESSNA,140,C140,L,706,L,L,
CESSNA,414 (Turbine),C14T,L,3062,L,L,
CESSNA,150,C150,L,748,L,L,
CESSNA,152,C152,L,760,L,L,
CESSNA,162 Skycatcher,C162,L,599,L,L,
CESSNA,170,C170,L,998,L,L,
CESSNA,172,C172,L,1157,L,L,
CESSNA,175 Skylark,C175,L,1134,L,L,
CESSNA,177 Cardinal,C177,L,1134,L,L,
CESSNA,180 Skywagon 180,C180,L,1338,L,L,
CESSNA,182,C182,L,1406,L,L,
CESSNA,185 Skywagon,C185,L,1520,L,L,
CESSNA,188 AgPickup,C188,L,1996,L,L,
CESSNA,190,C190,L,1633,L,L,
CESSNA,195,C195,L,1633,L,L,
CESSNA,205,C205,L,1497,L,L,
CESSNA,206 Super Skywagon,C206,L,1633,L,L,
CESSNA,207 Stationair,C207,L,1724,L,L,
CESSNA,208 Caravan 1,C208,L,3969,L,L,
CESSNA,210 Centurion,C210,L,1860,L,L,
CESSNA,421 (Turbine),C21T,L,3379,L,L,
CESSNA,T240 Corvalis TTx,C240,L,1633,L,L,
CESSNA,525A Citation CJ2,C25A,L,5670,L,L,
CESSNA,525B Citation CJ3,C25B,L,6291,L,L,
CESSNA,525C Citation CJ4,C25C,M,7760,L,L,
CESSNA,525 Citation M2,C25M,L,4853,L,L,
CESSNA,T303 Crusader,C303,L,2336,L,L,
CESSNA,Super 310,C310,L,2495,L,L,
CESSNA,320 Executive Skyknight,C320,L,2404,L,L,
CESSNA,335,C335,L,2717,L,L,
CESSNA,336 Skymaster,C336,L,1769,L,L,
CESSNA,337 Super Skymaster,C337,L,2132,L,L,
CESSNA,340,C340,L,2717,L,L,
CESSNA,402,C402,L,3107,L,L,
CESSNA,404 Titan,C404,L,3810,L,L,
CESSNA,408 SkyCourier,C408,L,0,L,L,
CESSNA,411,C411,L,2948,L,L,
CESSNA,414,C414,L,3062,L,L,
CESSNA,421 Golden Eagle,C421,L,3379,L,L,
CESSNA,425 Corsair,C425,L,3719,L,L,
CESSNA,441 Conquest 2,C441,L,4468,L,L,
CESSNA,Citation,C500,L,5376,L,L,
CESSNA,Citation 1SP,C501,L,5375,L,L,
CESSNA,510 Citation Mustang,C510,L,3921,L,L,
CESSNA,525 CitationJet,C525,L,4853,L,L,
CESSNA,526 CitationJet,C526,L,3856,L,L,
CESSNA,Citation 2,C550,L,6396,L,L,
CESSNA,Citation 2SP,C551,L,6849,L,L,
CESSNA,550B Citation Bravo,C55B,L,6713,L,L,
CESSNA,560 Citation 5,C560,M,7634,L,L,
CESSNA,560XL Citation Excel,C56X,M,9163,L,L,
CESSNA,650 Citation 6,C650,M,10433,L,L,
CESSNA,680 Citation Sovereign,C680,M,13959,L,L,
CESSNA,680A Citation Latitude,C68A,M,13970,L,L,
CESSNA,700 Citation Longitude,C700,M,17917,S,S,
CESSNA,172RG Cutlass RG,C72R,L,1157,L,L,
CESSNA,750 Citation 10,C750,M,16375,L,L,
CESSNA,177 Cardinal RG,C77R,L,1270,L,L,
CESSNA,182 Skylane RG,C82R,L,1406,L,L,
CESSNA,Turbo Skylane,C82S,L,1406,L,L,
CESSNA,TR182 Turbo Skylane RG,C82T,L,1406,L,L,
CESSNA,AW,CAW,L,1025,L,L,
CESSNA,DC-6,CDC6,L,1520,L,L,
CESSNA,C-165 Airmaster,CMAS,L,1157,L,L,
CESSNA,NGP,CNGP,L,0,L,L,
CESSNA,E350,E350,L,0,L,L,
CESSNA,E530 Scorpion,E530,M,9979,L,L,
CESSNA,321 Bird Dog,O1,L,1202,L,L,
CESSNA,T206 Turbo Stationair,T206,L,1633,L,L,
CESSNA,T210 Turbo Centurion,T210,L,1860,L,L,
CESSNA,318B,T37,L,2980,L,L,
CESSNA,AT-8 Bobcat,T50,L,2585,L,L,
CFM,Star Streak,STST,L,0,L,L,
