Manufacturer,Model,ICAO Type Designator,ICAO WTC,MCTOM (Kg),UK Departure WTC,UK Arrival WTC,Common Name
JURCA,MJ-7 Gnatsum,MJ7,L,0,L,L,
JURCA,MJ-77 Gnatsum,MJ77,L,0,L,L,
JURCA,MJ-8 1-Nine-0,MJ8,L,0,L,L,
JURCA,MJ-80 Focke-Wulf Fw-190 Replica,MJ80,L,0,L,L,
JURCA,MJ-9,MJ9,L,0,L,L,
JURCA,Messerschmitt Bf-109 Replica,MJ90,L,0,L,L,
JUST,Highlander,HIGH,L,599,L,L,
K & S,Cavalier (SA-102.5),SA02,L,0,L,L,
K & S,SA-103 Cavalier,SA03,L,0,L,L,
K & S,SA-104 Cavalier,SA04,L,0,L,L,
K & S,Super Cavalier,SA05,L,0,L,L,
KALINAUSKAS,RK-5,RK5,L,0,L,L,
KAMAN,K-20 Seaprite,H2,L,6441,L,L,
KAMAN,K-894 Super Seasprite,H2,L,6441,L,L,
KAMAN,Seaprite,H2,L,6441,L,L,
KAMAN,SH-2 Seasprite,H2,L,6441,L,L,
KAMAN,SH-2 Super Seasprite,H2,L,6441,L,L,
KAMAN,Super Seasprite,H2,L,6441,L,L,
KAMAN,H-43A,H43A,L,3084,L,L,
KAMAN,HH-43A,H43A,L,3084,L,L,
KAMAN,HOK,H43A,L,3084,L,L,
KAMAN,HUK,H43A,L,3084,L,L,
KAMAN,K-600,H43A,L,3084,L,L,
KAMAN,OH-43,H43A,L,3084,L,L,
KAMAN,UH-43,H43A,L,3084,L,L,
KAMAN,HH-43B Huskie,H43B,L,4150,L,L,
KAMAN,HH-43F Huskie,H43B,L,4150,L,L,
KAMAN,Huskie,H43B,L,4150,L,L,
KAMAN,K-600-3 Huskie,H43B,L,4150,L,L,
KAMAN,K-600-5 Huskie,H43B,L,4150,L,L,
KAMAN,K-1200 K-Max,KMAX,L,5443,L,L,
KAMAN,K-Max,KMAX,L,5443,L,L,
KAMINSKAS,RK-1 Jungster 1,JUN1,L,0,L,L,
KAMINSKAS,RK-2 Jungster 2,JUN2,L,0,L,L,
KAMOV,Ka-126,K126,L,3500,L,L,
KAMOV,Ka-226 Sergei,K226,L,3400,L,L,
KAMOV,Sergei,K226,L,3400,L,L,
KAMOV,Ka-25,KA25,M,7300,S,S,
KAMOV,Ka-26,KA26,L,3076,L,L,
KAMOV,HH-32,KA27,M,12700,S,S,
KAMOV,Ka-252,KA27,M,12700,S,S,
KAMOV,Ka-27,KA27,M,12700,S,S,
KAMOV,Ka-28,KA27,M,12700,S,S,
KAMOV,Ka-29,KA27,M,12700,S,S,
KAMOV,Ka-31,KA27,M,12700,S,S,
KAMOV,Ka-32,KA27,M,12700,S,S,
KAMOV,Black Shark,KA50,M,10800,S,S,
KAMOV,Chernaya Akula,KA50,M,10800,S,S,
KAMOV,Ka-50 Black Shark,KA50,M,10800,S,S,
KAMOV,Ka-50 Chernaya Akula,KA50,M,10800,S,S,
KAMOV,Ka-50 Werewolf,KA50,M,10800,S,S,
KAMOV,Werewolf,KA50,M,10800,S,S,
KAMOV,Alligator,KA52,M,10800,S,S,
KAMOV,Ka-52 Alligator,KA52,M,10800,S,S,
KAMOV,Ka-60 Kasatka,KA62,L,6800,L,L,
KAMOV,Ka-62,KA62,L,6800,L,L,
KAMOV,Kasatka,KA62,L,6800,L,L,
KAPPA,Sova,KP2,L,0,L,L,
KARI,Firefly,KAFI,L,0,L,L,
KARI,Twinbee,KATB,L,0,L,L,
KARI-KEEN,Coupe,KK60,L,0,L,L,
KAWASAKI,47G,B47G,L,1452,L,L,
KAWASAKI,C-1,C1,M,45000,M,LM,
KAWASAKI,CH-101,EH10,M,14600,S,S,
KAWASAKI,KHI-01,EH10,M,14600,S,S,
KAWASAKI,MCH-101,EH10,M,14600,S,S,
KAWASAKI,TH-55,H269,L,1157,L,L,
KAWASAKI,Hkp4,H46,M,8619,S,S,
KAWASAKI,KV-107,H46,M,8619,S,S,
KAWASAKI,CH-47 Chinook,H47,M,22680,S,S,
KAWASAKI,Chinook,H47,M,22680,S,S,
