ICAO CODE,IATA CODE,ALTERNATIVE CODE,LOCATION SERVED,AIRPORT,ALTERNATIVE NAME,HISTORICAL NAME,COUNTRY,TYPE,USER,NOTES,ICAO REGION
LFOZ,ORE,-,JARGEAU,ORLÉANS – SAINT-DENIS-DE-L'HÔTEL AIRPORT,-,-,FRANCE,,,-,L
LFPA,XYP,-,BEAUMONT-SUR-OISE,PERSAN-BEAUMONT AIRPORT,-,-,FRANCE,,,-,L
LFPB,LBG,-,LE BOURGET,PARIS–LE BOURGET AIRPORT,-,-,FRANCE,,,-,L
LFPC,CSF,-,CREIL,CREIL AIR BASE,-,-,FRANCE,,,-,L
LFPD,XBX,-,BERNAY,BERNAY–ST MARTIN AIRPORT,-,-,FRANCE,,,-,L
LFPE,XYB,-,MEAUX,MEAUX - ESBLY AERODROME,-,-,FRANCE,,,-,L
LFPF,-,-,BEYNES,BEYNES - THIVERVAL AERODROME,-,-,FRANCE,,,-,L
LFPG,CDG,-,ROISSY-EN-FRANCE,CHARLES DE GAULLE AIRPORT,-,-,FRANCE,,,-,L
LFPH,XXY,-,CHELLES,CHELLES - LE PIN AERODROME,-,-,FRANCE,,,-,L
LFPI,JDP,-,ISSY-LES-MOULINEAUX,PARIS - ISSY-LES-MOULINEAUX HELIPORT,-,-,FRANCE,HELIPORT,,-,L
LFPL,XLG,-,LOGNES,LOGNES – ÉMERAINVILLE AERODROME,-,-,FRANCE,,,-,L
LFPM,-,-,MELUN,MELUN VILLAROCHE AERODROME,-,-,FRANCE,,,-,L
LFPN,TNF,-,TOUSSUS-LE-NOBLE,TOUSSUS-LE-NOBLE AIRPORT,-,-,FRANCE,,,-,L
LFPO,ORY,-,ESSONNE,PARIS ORLY AIRPORT,-,-,FRANCE,,,-,L
LFPP,-,-,LE PLESSIS-BELLEVILLE,PLESSIS-BELLEVILLE AIRPORT,-,-,FRANCE,,,-,L
LFPQ,-,-,FONTENAY-TRÉSIGNY,FONTENAY-TRÉSIGNY AIRPORT,-,-,FRANCE,,,-,L
LFPT,POX,-,PONTOISE,PONTOISE – CORMEILLES AERODROME,-,-,FRANCE,,,-,L
LFPU,-,-,MORET-SUR-LOING,MORET - EPISY AERODROME,-,-,FRANCE,,,-,L
LFPV,VIY,-,VÉLIZY-VILLACOUBLAY,VÉLIZY – VILLACOUBLAY AIR BASE,-,-,FRANCE,,,-,L
LFPX,XZX,-,CHAVENAY,CHAVENAY - VILLEPREUX AERODROME,-,-,FRANCE,,,-,L
LFPY,-,-,BRÉTIGNY-SUR-ORGE,BRÉTIGNY-SUR-ORGE AIR BASE,-,-,FRANCE,,,-,L
LFPZ,XZB,-,SAINT-CYR-L'ÉCOLE,SAINT-CYR-L'ÉCOLE AERODROME,-,-,FRANCE,,,-,L
LFQA,-,-,PRUNAY,REIMS – PRUNAY AERODROME,-,-,FRANCE,,,-,L
LFQB,QYR,-,TROYES,TROYES – BARBEREY AIRPORT,-,-,FRANCE,,,-,L
LFQC,-,-,LUNÉVILLE,LUNÉVILLE-CROISMARE AIRPORT,-,-,FRANCE,,,-,L
LFQD,-,-,ARRAS,ARRAS – ROCLINCOURT AIRPORT,-,-,FRANCE,,,-,L
LFQE,-,-,ÉTAIN,ÉTAIN - ROUVRES AIR BASE,-,-,FRANCE,,,-,L
LFQF,XXG,-,AUTUN,AUTUN - BELLEVUE AERODROME,-,-,FRANCE,,,-,L
LFQG,NVS,-,NEVERS,NEVERS - FOURCHAMBAULT AIRPORT,-,-,FRANCE,,,-,L
LFQH,-,-,CHÂTILLON-SUR-SEINE,CHÂTILLON-SUR-SEINE AIRPORT,-,-,FRANCE,,,-,L
LFQI,XCB,-,ÉPINOY,CAMBRAI - ÉPINOY AIR BASE,-,-,FRANCE,,,-,L
LFQJ,XME,-,MAUBEUGE,MAUBEUGE AERODROME,-,-,FRANCE,,,-,L
LFQK,-,-,CHÂLONS-EN-CHAMPAGNE,CHÂLONS - ÉCURY-SUR-COOLE AIRPORT,-,-,FRANCE,,,-,L
LFQL,XLE,-,LENS,LENS - BÉNIFONTAINE AIRPORT,-,-,FRANCE,,,-,L
LFQM,QBQ,-,LA VÈZE,BESANÇON – LA VÈZE AERODROME,-,-,FRANCE,,,-,L
LFQN,XSG,-,SAINT-OMER,SAINT-OMER - WIZERNES AIRPORT,-,-,FRANCE,,,-,L
LFQO,-,-,LILLE,LILLE - MARCQ-EN-BAROEUL AIRPORT,-,-,FRANCE,,,-,L
LFQP,-,-,PHALSBOURG,QUARTIER LA HORIE,-,-,FRANCE,,,-,L
LFQQ,LIL,-,LESQUIN,LILLE AIRPORT,-,-,FRANCE,,,-,L
LFQR,-,-,ROMILLY-SUR-SEINE,ROMILLY-SUR-SEINE AIRPORT,-,-,FRANCE,,,-,L
LFQS,-,-,VITRY-EN-ARTOIS,VITRY-EN-ARTOIS AIRPORT,-,-,FRANCE,,,-,L
LFQT,HZB,-,MERVILLE,MERVILLE–CALONNE AIRPORT,-,-,FRANCE,,,-,L
LFQU,-,-,SARRE-UNION,SARRE-UNION AERODROME,-,-,FRANCE,,,-,L
LFQV,-,-,CHARLEVILLE-MÉZIÈRES,CHARLEVILLE-MÉZIÈRES AERODROME,-,-,FRANCE,,,-,L
LFQW,XVO,-,VESOUL / FROTEY,VESOUL - FROTEY AIRPORT,-,-,FRANCE,,,-,L
LFQX,-,-,JUVANCOURT,JUVANCOURT AERODROME,-,-,FRANCE,,,-,L
LFQY,-,-,SAVERNE,SAVERNE - STEINBOURG AERODROME,-,-,FRANCE,,,-,L
LFQZ,-,-,DIEUZE,DIEUZE - GUEBLANGE AERODROME,-,-,FRANCE,,,-,L
LFRA,-,-,ANGERS,ANGERS – AVRILLÉ AIRPORT,-,-,FRANCE,,,-,L
LFRB,BES,-,BREST,BREST BRETAGNE AIRPORT,-,-,FRANCE,,,-,L
LFRC,CER,-,CHERBOURG-EN-COTENTIN,CHERBOURG – MAUPERTUS AIRPORT,-,-,FRANCE,,,-,L
LFRD,DNR,-,DINARD,DINARD–PLEURTUIT–SAINT-MALO AIRPORT,-,-,FRANCE,,,-,L
LFRE,LBY,-,LA BAULE-ESCOUBLAC,LA BAULE - PORNICHET - LE POULIGUEN AIRPORT,-,-,FRANCE,,,-,L
LFRF,GFR,-,GRANVILLE,GRANVILLE - MONT SAINT-MICHEL AERODROME,-,-,FRANCE,,,-,L
LFRG,DOL,-,DEAUVILLE,DEAUVILLE – NORMANDIE AIRPORT,-,-,FRANCE,,,-,L
LFRH,LRT,-,LORIENT,LORIENT SOUTH BRITTANY AIRPORT,-,-,FRANCE,,,-,L
LFRI,EDM,-,LA ROCHE-SUR-YON,LA ROCHE-SUR-YON AERODROME,-,-,FRANCE,,,-,L
LFRJ,LDV,-,LANDIVISIAU,LANDIVISIAU AIR BASE,-,-,FRANCE,,,-,L
LFRK,CFR,-,CAEN,CAEN – CARPIQUET AIRPORT,-,-,FRANCE,,,-,L
LFRL,-,-,LANVÉOC,LANVÉOC - POULMIC AIR BASE,-,-,FRANCE,,,-,L
LFRM,LME,-,LE MANS,LE MANS - ARNAGE AERODROME,-,-,FRANCE,,,-,L
LFRN,RNS,-,RENNES,RENNES–SAINT-JACQUES AIRPORT,-,-,FRANCE,,,-,L
LFRO,LAI,-,LANNION,LANNION – CÔTE DE GRANIT AIRPORT,-,-,FRANCE,,,-,L
LFRP,-,-,PLOËRMEL,PLOËRMEL - LOYAT AIRPORT,-,-,FRANCE,,,-,L
LFRQ,UIP,-,PLUGUFFAN,QUIMPER–CORNOUAILLE AIRPORT,-,-,FRANCE,,,-,L
LFRS,NTE,-,BOUGUENAIS,NANTES ATLANTIQUE AIRPORT,-,-,FRANCE,,,-,L
LFRT,SBK,-,SAINT-BRIEUC,SAINT-BRIEUC – ARMOR AIRPORT,-,-,FRANCE,,,-,L
LFRU,MXN,-,MORLAIX,MORLAIX – PLOUJEAN AIRPORT,-,-,FRANCE,,,-,L
LFRV,VNE,-,VANNES,MEUCON AIRPORT,-,-,FRANCE,,,-,L
LFRW,-,-,AVRANCHES,AVRANCHES - LE VAL-SAINT-PÈRE AERODROME,-,-,FRANCE,,,-,L
LFRZ,SNR,-,SAINT-NAZAIRE,SAINT-NAZAIRE MONTOIR AIRPORT,-,-,FRANCE,,,-,L
LFSA,-,-,BESANÇON,BESANÇON - THISE AIRPORT,-,-,FRANCE,,,-,L
LFSB,MLH,-,SAINT-LOUIS,EUROAIRPORT BASEL MULHOUSE FREIBURG,-,-,FRANCE,,,-,L
LFSC,-,-,MEYENHEIM,QUARTIER COLONEL DIO,-,-,FRANCE,,,-,L
LFSD,DIJ,-,LONGVIC,DIJON–BOURGOGNE AIRPORT,-,-,FRANCE,,,-,L
LFSE,-,-,ÉPINAL,ÉPINAL - DOGNEVILLE AIRPORT,-,-,FRANCE,,,-,L
LFSF,MZM,-,METZ,METZ-FRESCATY AIR BASE,-,-,FRANCE,,,-,L
LFSG,EPL,-,JUVAINCOURT,ÉPINAL – MIRECOURT AIRPORT,-,-,FRANCE,,,-,L
LFSH,-,-,HAGUENAU,HAGUENAU AIRPORT,-,-,FRANCE,,,-,L
LFSI,-,-,SAINT-DIZIER,SAINT-DIZIER – ROBINSON AIR BASE,-,-,FRANCE,,,-,L
LFSJ,XSW,-,SEDAN,SEDAN - DOUZY AIRPORT,-,-,FRANCE,,,-,L
LFSK,-,-,VITRY-LE-FRANÇOIS,VITRY-LE-FRANÇOIS - VAUCLERC AIRPORT,-,-,FRANCE,,,-,L
LFSL,BVE,-,BRIVE-LA-GAILLARDE,BRIVE–SOUILLAC AIRPORT,-,-,FRANCE,,,-,L
LFSM,XMF,-,MONTBÉLIARD,MONTBÉLIARD – COURCELLES AERODROME,-,-,FRANCE,,,-,L
LFSN,ENC,-,ESSEY,NANCY-ESSEY AIRPORT,-,-,FRANCE,,,-,L
LFSO,-,-,OCHEY,NANCY – OCHEY AIR BASE,-,-,FRANCE,,,-,L
LFSP,-,-,PONTARLIER,PONTARLIER AIRPORT,-,-,FRANCE,,,-,L
LFSQ,BOR,-,BELFORT / FONTAINE,BELFORT - FONTAINE AERODROME,-,-,FRANCE,,,-,L
LFSR,RHE,-,REIMS,REIMS - CHAMPAGNE AERODROME,-,-,FRANCE,,,-,L
LFST,SXB,-,ENTZHEIM,STRASBOURG AIRPORT,-,-,FRANCE,,,-,L
LFSU,-,-,LANGRES,LANGRES - ROLAMPONT AIRPORT,-,-,FRANCE,,,-,L
LFSV,-,-,PONT-SAINT-VINCENT,PONT-SAINT-VINCENT AERODROME,-,-,FRANCE,,,-,L
LFSW,XEP,-,ÉPERNAY,ÉPERNAY - PLIVOT AIRPORT,-,-,FRANCE,,,-,L
LFSX,-,-,LUXEUIL-LES-BAINS,LUXEUIL - SAINT-SAUVEUR AIR BASE,-,-,FRANCE,,,-,L
LFSY,-,-,CESSEY,CESSEY AIRPORT,-,-,FRANCE,,,-,L
LFSZ,VTL,-,VITTEL,VITTEL - CHAMP-DE-COURSES AIRPORT,-,-,FRANCE,,,-,L
LFTF,-,-,CUERS,CUERS - PIERREFEU AIRPORT,-,-,FRANCE,,,-,L
LFTH,TLN,-,HYÈRES,TOULON–HYÈRES AIRPORT,-,-,FRANCE,,,-,L
LFTM,-,-,SERRES / LA BÂTIE-MONTSALÉON,SERRES - LA BÂTIE-MONTSALÉON AERODROME,-,-,FRANCE,,,-,L
LFTN,-,-,LA GRAND-COMBE,LA GRAND-COMBE AERODROME,-,-,FRANCE,,,-,L
LFTP,-,-,PUIMOISSON,PUIMOISSON AERODROME,-,-,FRANCE,,,-,L
LFTQ,-,-,CHÂTEAUBRIANT,CHÂTEAUBRIANT - POUANCÉ AERODROME,-,-,FRANCE,,,-,L
LFTT,JSZ,-,SAINT-TROPEZ,SAINT-TROPEZ - LE PILON HELIPORT,-,-,FRANCE,HELIPORT,,-,L
LFTW,FNI,-,SAN-GILLES,NÎMES–ALÈS–CAMARGUE–CÉVENNES AIRPORT,-,-,FRANCE,,,-,L
LFTZ,LTT,-,LA MÔLE,LA MÔLE – SAINT-TROPEZ AIRPORT,-,-,FRANCE,,,-,L
LFXA,-,-,AMBÉRIEU-EN-BUGEY,AMBÉRIEU-EN-BUGEY AIR BASE,-,-,FRANCE,,,-,L
LFXB,XST,-,SAINTES,SAINTES - THÉNAC AIRPORT,-,-,FRANCE,,,-,L
LFXC,-,-,AUZAINVILLIERS,VITTEL - AUZAINVILLIERS AIRPORT,-,-,FRANCE,,,-,L
LFXH,-,-,VALDAHON,VALDAHON AIR BASE,-,-,FRANCE,,,-,L
LFXI,-,-,SAINT-CHRISTOL,SAINT-CHRISTOL AIRPORT,-,-,FRANCE,,,-,L
LFXM,-,-,MOURMELON-LE-GRAND,MOURMELON AERODROME,-,-,FRANCE,,,-,L
LFXQ,-,-,COËTQUIDAN,COËTQUIDAN AIR BASE,-,-,FRANCE,,,-,L
LFXU,-,-,LES MUREAUX,LES MUREAUX AIRPORT,-,-,FRANCE,,,-,L
LFYD,-,-,DAMBLAIN,DAMBLAIN AIRPORT,-,-,FRANCE,,,-,L
LFYG,-,-,CAMBRAI,CAMBRAI-NIERGNIES AIRPORT,-,-,FRANCE,,,-,L
LFYH,-,-,BROYE-AUBIGNEY-MONTSEUGNY,BROYES-LÈS-PESMES AIRPORT,-,-,FRANCE,,,-,L
LFYK,-,-,MONTMÉDY,MONTMÉDY - MARVILLE AIRPORT,-,-,FRANCE,,,-,L
LFYL,-,-,LURE,LURE - MALBOUHANS AIRPORT,-,-,FRANCE,,,-,L
LFYM,-,-,MARIGNY,MARIGNY - LE GRAND AIRPORT,-,-,FRANCE,,,-,L
LFYR,-,-,ROMORANTIN-LANTHENAY,ROMORANTIN - PRUNIERS AIRPORT,-,-,FRANCE,,,-,L
LFYS,-,-,SAINTE-LÉOCADIE,SAINTE-LÉOCADIE AERODROME,-,-,FRANCE,,,-,L
LFYT,-,-,CLASTRES,SAINT-SIMON – CLASTRES AIR BASE,-,-,FRANCE,,,-,L
LGAC,-,-,ATHINAI,,,,GREECE,,,,L
LGAD,PYR,-,ANDRAVIDA,ANDRAVIDA AIR BASE,-,-,GREECE,,MILITARY,-,L
LGAG,AGQ,-,AGRINION,AGRINIO AIRPORT,-,-,GREECE,,MILITARY,-,L
LGAL,AXD,-,ALEXANDROUPOLIS,"ALEXANDROUPOLI AIRPORT ""DIMOKRITOS""",-,-,GREECE,,,-,L
LGAM,-,-,PIRAEUS,AMPHIALI,,,GREECE,,,,L
LGAT,-,-,ATHINAI,ELLINIKON INTERNATIONAL AIRPORT,HELLENIKON INTERNATIONAL AIRPORT,HELLENIKON AIR BASE,GREECE,,,CLOSED 2001,L
LGAV,ATH,-,ATHINAI,"ATHENS INTERNATIONAL AIRPORT ""ELEFTHERIOS VENIZELOS""",-,-,GREECE,,PUBLIC,-,L
LGAX,-,-,ALEXANDRIA,ALEXANDREIA AIRPORT,-,-,GREECE,,MILITARY,-,L
LGBL,VOL,-,ALMIROS,NEA ANCHIALOS NATIONAL AIRPORT,CENTRAL GREECE AIRPORT,-,GREECE,,PUBLIC,-,L
LGEL,-,-,ELEFSIS,ELEFSINA AIR BASE,-,-,GREECE,,MILITARY,-,L
LGGG,-,-,-,ATHENS ACC,-,-,GREECE,AIR TRAFFIC CONTROL,DUAL,-,L
LGHI,JKH,-,CHIOS,"CHIOS ISLAND NATIONAL AIRPORT ""OMIROS""",CHIOS AIRPORT,-,GREECE,,PUBLIC,-,L
LGIK,JIK,-,IKARIA,"IKARIA ISLAND NATIONAL AIRPORT ""IKAROS""",-,-,GREECE,,PUBLIC,-,L
LGIO,IOA,-,IONNINA,"IOANNINA NATIONAL AIRPORT ""KING PYRROS""",-,-,GREECE,,PUBLIC,-,L
LGIR,HER,-,IRAKLION,"HERAKLION INTERNATIONAL AIRPORT ""NIKOS KANZANTZAKIS""",-,-,GREECE,,DUAL,-,L
LGKA,KSO,-,KASTORIA,"KASTORIA NATIONAL AIRPORT ""ARISTOTELIS""",ARISTOTELIS AIRPORT,-,GREECE,,PUBLIC,-,L
LGKC,KIT,-,KITHRA,"KITHIRA ISLAND NATIONAL AIRPORT ""ALEXANDROS ARISTOTELOUS ONASSIS""",-,-,GREECE,,PUBLIC,-,L
LGKF,EFL,-,KEFALLINIA,"KEFALONIA AIRPORT ""ANNA POLLATOU""",KEFALONIA INTERNATIONANL AIRPORT,-,GREECE,,PUBLIC,-,L
LGKJ,KZS,-,KASTELORIZO,KASTELLORIZO ISLAND PUBLIC AIRPORT,KASTELLORIZO AIRPORT,-,GREECE,,PUBLIC,-,L
LGKL,KLX,-,KALAMATA,,,,GREECE,,,,L
LGKM,-,-,KAVALA,AMIGDALEON,,,GREECE,,,,L
LGKN,-,-,MARATHON,KOTRONI,,,GREECE,,,,L
LGKO,KGS,-,KOS,IPPOKRATIS,,,GREECE,,,,L
LGKP,AOK,-,KARPATHOS,,,,GREECE,,,,L
LGKR,CFU,-,KERKIRA,IONANNIS KAPODISTRIAS,,,GREECE,,,,L
LGKS,KSJ,-,KASSOS,,,,GREECE,,,,L
LGKV,KVA,-,KAVALA,MEGAS ALEXANDROS,,,GREECE,,,,L
LGKY,JKL,-,KALYMNOS,,,,GREECE,,,,L
LGKZ,KZI,-,KOZAN,FILIPPOS,,,GREECE,,,,L
LGLE,LRS,-,LEROS,,,,GREECE,,,,L
LGLM,LXS,-,LIMNOS,IFAISTOS,,,GREECE,,,,L
LGLR,LRA,-,LARISSA,,,,GREECE,,,,L
LGMD,-,-,MAKEDONIA ACC,AIR TRAFFIC CONTROL,-,-,GREECE,AIR TRAFFIC CONTROL,DUAL,-,L
LGMG,-,-,MEGARA,,,,GREECE,,,,L
LGMK,JMK,-,MIKONOS,,,,GREECE,,,,L
LGML,MLO,-,MILOS,,,,GREECE,,,,L
LGMT,MJT,-,MITILINI,ODYSSEAS ELYTIS,,,GREECE,,,,L
LGNX,JNX,-,NAXOS,,,,GREECE,,,,L
LGPA,PAS,-,PAROS,,,,GREECE,,,,L
LGPL,JTY,-,ASTYPALAIA,ASTYPALAIA ISLAND NATIONAL AIRPORT,PANAGHIA AIRPORT,-,GREECE,,PUBLIC,-,L
LGPZ,PVK,-,PREVEZA,AKTION,,,GREECE,,,,L
LGRD,-,-,RODOS,MARITSA,,,GREECE,,,,L
LGRP,RHO,-,RODOS,DIAGORAS,,,GREECE,,,,L
LGRX,GPA,-,ARAXOS,PATRAS ARAXOS AIRPORT,AGAMEMNON AIRPORT,,GREECE,,DUAL,-,L
LGSA,CHQ,-,CHANIA,IOANNIS DASKALOGIANNIS,,,GREECE,,,,L
LGSD,-,-,SEDES,,,,GREECE,,,,L
LGSK,JSI,-,SKIATHOS,ALEXANDROS PAPADIAMANDIS,,,GREECE,,,,L
LGSM,SMI,-,SAMOS,ARISTARCHOS OF SAMOS,,,GREECE,,,,L
LGSO,JSY,-,SYROS,DIMITRIOS VIKELAS,,,GREECE,,,,L
LGSR,JTR,-,SANTORINI,,,,GREECE,,,,L
LGST,JSH,-,SITIA,VITSENTZOS KORNAROS,,,GREECE,,,,L
LGSV,-,-,STEFANOVIKION,,,,GREECE,,,,L
LGSY,SKU,-,SKIROS,,,,GREECE,,,,L
LGTG,-,-,TANAGRA,,,,GREECE,,,,L
LGTL,-,-,KASTELI,,,,GREECE,,,,L
LGTP,-,-,TRIPOLIS,,,,GREECE,,,,L
LGTS,SKG,-,THESSALONIKI,"THESSALONIKI AIRPORT ""MAKEDONIA""",THESSALONIKI AIRPORT,BIG MIKRA,GREECE,LAND AIRPORT,DUAL,-,L
LGTT,-,-,DEKELIA,TATOI,,,GREECE,,,,L
LGZA,ZTH,-,ZAKINTHOS,DIONISIOS SOLOMOS,,,GREECE,,,,L
LGZZ,-,-,,,,,GREECE,,,,L
LIEA,AHO,-,ALGHERO,ALGHERO - RIVIERA DEL CORALLO AIRPORT,ALGHERO-FERTILIA AIRPORT,-,ITALY,,,-,L
LIMG,ALL,-,ALBENGA,RIVIERA AIRPORT,-,ALBENGA AIRPORT,ITALY,,,-,L
LIPA,AVB,-,FRIULI-VENEZIA GIULIA REGION,AVIANO AIR BASE,BASE AEREA DI AVIANO,-,ITALY,,,-,L
LOAA,-,-,OTTENSCHLAG,OTTENSCHLAG AIRPORT,-,-,AUSTRIA,,,-,L
LOAB,-,-,DOBERSBERG,DOBERSBERG AIRPORT,-,-,AUSTRIA,,,-,L
LOAD,-,-,VÖLTENDORF,VÖLTENDORF AIRPORT,-,-,AUSTRIA,,,-,L
LOAG,-,-,KREMS AN DER DONAU,KREMS-LANGENLOIS AIRPORT,-,-,AUSTRIA,,,-,L
LOAL,-,-,LEOPOLDSDORF IM MARCHFELDE,LEOPOLDSDORF IM MARCHFELDE AIRPORT,-,-,AUSTRIA,,,-,L
LOAN,-,-,WIENER NEUSTADT,WIENER NEUSTADT EAST AIRPORT,-,-,AUSTRIA,,,-,L
LOAR,-,-,RETZ,RETZER LAND HELIPORT,-,-,AUSTRIA,HELIPORT,,-,L
LOAS,-,-,SPITZERBERG,SPITZERBERG AIRPORT,-,-,AUSTRIA,,,-,L
LOAT,-,-,TRAUSDORF AN DER WULKA,TRAUSDORF AIRPORT,-,-,AUSTRIA,,,-,L
LOAU,-,-,STOCKERAU,STOCKERAU AIRPORT,-,-,AUSTRIA,,,-,L
LOAV,-,-,BAD VÖSLAU,VÖSLAU AIRFIELD,-,-,AUSTRIA,,,-,L
LOGF,-,-,FÜRSTENFELD,FÜRSTENFELD AIRPORT,-,-,AUSTRIA,,,-,L
LOGG,-,-,PUNITZ,PUNITZ-GÜSSING AIRPORT,-,-,AUSTRIA,,,-,L
LOGK,-,-,KAPFENBERG,KAPFENBERG AIRPORT,-,-,AUSTRIA,,,-,L
LOGL,-,-,TURNAU,LANZEN-TURNAU AIRPORT,-,-,AUSTRIA,,,-,L
LOGM,-,-,MARIAZELL,MARIAZELL AIRPORT,-,-,AUSTRIA,,,-,L
LOGO,-,-,NIEDERÖBLARN,NIEDERÖBLARN AIRPORT,-,-,AUSTRIA,,,-,L
LOGP,-,-,PINKAFELD,PINKAFELD AIRPORT,-,-,AUSTRIA,,,-,L
LOGT,-,-,TIMMERSDORF,LEOBEN/TIMMERSDORF AIRFIELD,-,-,AUSTRIA,,,-,L
LOGW,-,-,WEIZ,WEIZ-UNTERFLADNITZ AIRPORT,-,-,AUSTRIA,,,-,L
LOIH,HOH,-,DORNBIRN,HOHENEMS-DORNBIRN AIRPORT,-,-,AUSTRIA,,,-,L
LOIJ,-,-,TIROL,SANKT JOHANN AIRPORT,-,-,AUSTRIA,,,-,L
LOIK,-,-,KUFSTEIN,KUFSTEIN-LANGKAMPFEN AIRPORT,-,-,AUSTRIA,,,-,L
LOIR,-,-,REUTTE,REUTTE-HÖFEN AIRPORT,-,-,AUSTRIA,,,-,L
LOIT,-,-,SANKT JOHANN IN TIROL,SANKT JOHANN IN TIROL HELIPORT,-,-,AUSTRIA,HELIPORT,,-,L
LOIY,-,-,SCHRUNS,HELIPORT SANATORIUM DR. SCHENK,-,-,AUSTRIA,HELIPORT,,-,L
LOKF,-,-,FELDKIRCHEN IN KÄRNTEN,FELDKIRCHEN-OSSIACHER SEE AIRPORT,-,-,AUSTRIA,,,-,L
LOKG,-,-,FERLACH,GLAINACH-FERLACH AIRPORT,-,-,AUSTRIA,,,-,L
LOKH,-,-,FRIESACH,FRIESACH-HIRTH AIRPORT,-,-,AUSTRIA,,,-,L
LOKL,-,-,LIENZ,LIENZ-NIKOLSDORF AIRPORT,-,-,AUSTRIA,,,-,L
LOKM,-,-,MAYERHOFEN,MAYERHOFEN AIRPORT,-,-,AUSTRIA,,,-,L
LOKN,-,-,NÖTSCH IM GAILTAL,NÖTSCH IM GAILTAL AIRPORT,-,-,AUSTRIA,,,-,L
LOKW,-,-,WOLFSBERG,WOLFSBERG AIRPORT,-,-,AUSTRIA,,,-,L
LOLC,-,-,SCHARNSTEIN,SCHARNSTEIN AIRPORT,-,-,AUSTRIA,,,-,L
LOLE,-,-,EFERDING,EFERDING AIRPORT,-,-,AUSTRIA,,,-,L
LOLF,-,-,FREISTADT,FREISTADT AIRPORT,-,-,AUSTRIA,,,-,L
LOLG,-,-,SANKT GEORGEN AM YBBSFELDE,SANKT GEORGEN AIRPORT,-,-,AUSTRIA,,,-,L
LOLH,-,-,HOFKIRCHEN IM TRAUNKREIS,HOFKIRCHEN AIRPORT,-,-,AUSTRIA,,,-,L
LOLK,-,-,RIED IM INNKREIS,RIED-KIRCHHEIM AIRPORT,-,-,AUSTRIA,,,-,L
LOLM,-,-,MICHELDORF,MICHELDORF AIRPORT,-,-,AUSTRIA,,,-,L
LOLO,-,-,LINZ,LINZ-EAST AIRPORT,-,-,AUSTRIA,,,-,L
LOLS,-,-,SCHÄRDING,SCHÄRDING-SUBEN AIRPORT,-,-,AUSTRIA,,,-,L
LOLT,-,-,SEITENSTETTEN,SEITENSTETTEN AIRPORT,-,-,AUSTRIA,,,-,L
LOLU,-,-,GMUNDEN,GMUNDEN LAARKIRCHEN AIRPORT,-,-,AUSTRIA,,,-,L
LOLW,-,-,WELS,WELS AIRPORT,-,-,AUSTRIA,,,-,L
LOSM,-,-,MAUTERNDORF,MAUTERNDORF AIRPORT,-,-,AUSTRIA,,,-,L
LOWG,GRZ,-,GRAZ,GRAZ AIRPORT,-,-,AUSTRIA,,,-,L
LOWI,INN,-,INNSBRUCK,INNSBRUCK AIRPORT,-,-,AUSTRIA,,,-,L
LOWK,KLU,-,KLAGENFURT,KLAGENFURT AIRPORT,FLUGHAFEN KLAGENFURT,-,AUSTRIA,LAND AIRPORT,PUBLIC,-,L
LOWL,LNZ,-,HÖRSCHING,LINZ AIRPORT,-,-,AUSTRIA,,,-,L
LOWS,SZG,-,SALZBURG,SALZBURG AIRPORT W. A. MOZART,SALZBURG AIRPORT,-,AUSTRIA,LAND AIRPORT,PUBLIC,-,L
LOWW,VIE,-,VIENNA (WIEN),VIENNA INTERNATIONAL AIRPORT (WIEN-SCHWECHAT AIRPORT),-,-,AUSTRIA,,,-,L
LOWZ,-,-,ZELL AM SEE,ZELL AM SEE AIRPORT,-,-,AUSTRIA,,,-,L
LOXA,-,-,AIGEN IM ENNSTAL,MILITARY AIRPORT AIGEN IM ENNSTAL,-,-,AUSTRIA,,,-,L
LOXI,-,-,VOMP,MILITARY HELIBASE VOMP,-,-,AUSTRIA,HELIPORT,,-,L
LOXN,-,-,WIEN,WIENER NEUSTADT WEST AIRPORT,-,-,AUSTRIA,,,-,L
LOXS,-,-,SCHWAZ,SCHWAZ HELIPORT,-,-,AUSTRIA,HELIPORT,,-,L
LOXT,-,-,TULLN AN DER DONAU,BRUMOWSKI AIR BASE,-,-,AUSTRIA,,,-,L
LOXZ,-,-,ZELTWEG,ZELTWEG AIR BASE,-,-,AUSTRIA,,,-,L
LPAR,AVR,-,ALVERCA,ALVERCA AIR BASE,-,-,PORTUGAL,,,-,L
LSZR,ACH,-,ALTENRHEIN,ST. GALLEN-ALTENRHEIN AIRPORT,-,-,SWITZERLAND,,,-,L
LTAF,ADA,-,ADANA,ADANA SAKIRPASA AIRPORT,-,-,TURKEY,,,-,L
LTAG,UAB,-,ADANA,INCIRLIK AIR BASE,-,-,TURKEY,,,-,L
LTAH,AFY,-,AFYON,AFYON AIRPORT,-,-,TURKEY,,MILITARY,-,L
LTAP,MZH,-,MERZIFON,MERZIFON AIRPORT,AMASYA MERZIFON AIRPORT,-,TURKEY,,,-,L
LTCO,AJI,-,AGRI,AGRI AIRPORT,-,-,TURKEY,,,-,L
LTCP,ADF,-,ADIYAMAN,ADIYAMAN AIRPORT,-,-,TURKEY,,,-,L
